"observing","describing","accepting","acting","age","bsex"
3.9,3,3.7,2.7,38,"female"
3.8,2.9,4.6,3.8,26,"male"
5,3.5,1.7,2.8,53,"female"
3.5,3,3.9,3,56,"male"
3.7,3.3,4,3.3,18,"male"
3.2,3.1,3.3,4,34,"male"
3.9,2.9,1.7,2.4,70,"female"
3,2.9,3.1,3.4,24,"female"
3.6,3,2.2,3,31,"male"
3.1,3,4.1,3,43,"male"
4.7,3.8,3.6,3.3,15,"male"
3.5,3.1,4.1,3.4,31,"female"
3.6,3.3,2.8,2.9,19,"male"
4.7,3,2.6,3.1,28,"male"
4.5,3.5,1.1,3.1,24,"male"
3.3,2.8,1.3,2.7,85,"male"
3.8,3,2.8,3.3,45,"male"
3.3,2.9,4.3,3.8,54,"female"
4.3,3.4,3.3,2.9,15,"female"
5,5,5,5,24,"female"
3.9,2.9,1.1,2.6,70,"female"
4.3,3.4,3,3.4,41,"female"
4,3.3,3.3,3.2,24,"male"
2.5,3.3,4.1,3.7,44,"female"
3.7,3,3.1,3,33,"male"
3.5,2.6,2.9,3,30,"female"
2.2,2.8,3.8,3.8,49,"male"
4.1,2.8,3.8,3.6,35,"male"
4.7,3.4,4.1,3,53,"female"
2.7,3,2.3,2.9,49,"male"
2.7,2.6,2.1,2.9,39,"male"
3.7,3.6,2.9,2.9,26,"female"
3.4,3.4,2.7,3.5,27,"male"
2.3,2.9,4.7,3.1,17,"female"
3,3.3,3.4,3.1,21,"male"
3.5,3.1,3,3.3,36,"male"
4.6,2.3,4.1,3.6,59,"male"
3.4,3.3,3.3,3.3,23,"male"
3.1,2.9,1.2,2.5,59,"female"
3.8,3.1,3.9,2.9,34,"female"
2.8,3.6,3.4,3.2,50,"female"
3.1,2.4,3,3.6,47,"male"
2.5,2.8,1.9,3.5,44,"female"
2.9,2.9,4,3.4,32,"male"
4,3.3,1.9,3,26,"female"
3.2,3,3.2,3.8,28,"male"
4.5,3.4,3,3.8,40,"male"
3.3,3,2.6,2.2,49,"male"
3.1,2.8,4.7,3.5,25,"male"
4.7,3.8,2.8,3.9,31,"female"
3.4,3.3,3,2.4,18,"male"
4.1,3.3,1.7,3.4,44,"male"
3.8,3.3,3.4,3.5,15,"male"
3.5,3.3,2.1,3.5,40,"female"
